#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-29T05:38:46 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51f5e9e84e90 
#INFO -out.max=9999 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/484/609&tab:{J/A+A/484/609/catalog}&key:source=J/A+A/484/609&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/484/609/catalog
#-order=I
#-out=Bmag
#-out=Vmag
#-out=Icmag
#-out=Pmb
#

#RESOURCE=yCat_34840609
#Name: J/A+A/484/609
#Title: BVI photometry and proper motions in M67 (Yadav+, 2008)
#Table J_A_A_484_609_catalog:
#Name: J/A+A/484/609/catalog
#Title: M67 catalog
#---Details of Columns:
    _RAJ2000 ("h:m:s") (A12)   Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
08 51 19.380 +11 35 30.66        17.376          0
08 50 38.365 +11 35 31.99        18.037          0
08 51 02.494 +11 35 32.75        19.546          0
08 50 55.674 +11 35 35.47        14.873          0
08 50 53.879 +11 35 42.78        18.541          0
08 50 19.825 +11 35 41.83        21.374         27
08 52 10.692 +11 35 45.17        18.585          0
08 51 01.727 +11 35 45.57        18.479          0
08 52 15.765 +11 35 48.01        17.575          0
08 51 07.135 +11 35 48.63        15.584          0
08 51 27.646 +11 35 49.69        19.347          0
08 51 10.648 +11 35 54.70        20.538          0
08 51 12.690 +11 35 56.82        19.131 16.576   0
08 51 30.684 +11 35 58.01        20.555 18.090  35
08 52 16.734 +11 35 58.87 19.569 17.750 15.599   0
08 51 06.537 +11 35 58.98 15.169 14.502 13.719   0
08 51 22.453 +11 35 59.63        20.719 18.569   1
08 51 34.185 +11 35 59.83 16.312 15.112 13.775   0
08 52 04.231 +11 36 00.25 17.287 16.156 14.832   0
08 51 59.718 +11 36 00.33        22.539         13
08 50 19.328 +11 35 58.43 22.180 20.414 19.801  36
08 52 02.565 +11 36 02.06 15.353 14.663 13.848   0
08 51 07.070 +11 36 01.43 20.710 18.914 16.774   0
08 51 04.170 +11 36 01.24        22.001         18
08 52 15.641 +11 36 02.69 20.587 20.033 19.138   0
08 51 43.927 +11 36 03.65 21.040 20.895 19.834   5
08 50 34.033 +11 36 03.44 20.678 19.468 18.211   2
08 52 11.572 +11 36 05.39 21.810 20.720 19.698  10
08 50 33.800 +11 36 04.65 20.433 19.367 18.158   0
08 51 02.049 +11 36 05.47 22.136 20.245 18.230  25
08 51 42.201 +11 36 08.34 19.530 18.079 16.330  32
08 50 12.933 +11 36 06.77        21.400          0
08 51 20.334 +11 36 09.35 18.033 16.667 15.178  19
08 52 02.354 +11 36 10.12 20.062 18.586 16.849   0
08 51 30.548 +11 36 10.07 17.082 16.113 14.981  93
08 51 38.762 +11 36 10.49 20.374 18.825 16.764  34
08 51 37.578 +11 36 10.73 16.974 16.345 15.575  60
08 50 10.634 +11 36 08.44        17.656          0
08 51 13.622 +11 36 11.06        20.962 18.673  30
08 50 14.454 +11 36 09.49        18.946          0
08 52 13.342 +11 36 12.72 22.194 21.141 18.690   1
08 51 32.160 +11 36 12.61 13.821 13.238 12.512  99
08 52 14.989 +11 36 13.01        21.423 18.998  36
08 51 03.333 +11 36 13.52 20.989 19.064 17.057   0
08 51 27.639 +11 36 15.42 18.370 17.441 16.394   2
08 50 25.856 +11 36 13.88 21.188 22.106          4
08 51 28.955 +11 36 17.74 21.333 19.460 17.279  33
08 50 28.340 +11 36 16.16        21.644 20.426   0
08 51 04.988 +11 36 17.58        20.502 18.629   0
08 50 50.941 +11 36 17.23        18.692 17.124   0
08 51 46.079 +11 36 18.36 11.769 11.070 10.204   0
08 51 54.833 +11 36 18.64 17.586 16.621 15.407   0
08 50 32.406 +11 36 17.17        20.935 18.692  20
08 51 55.711 +11 36 19.64 18.541 17.993 17.213   0
08 51 54.908 +11 36 21.44 22.110 21.143 18.738   0
08 51 34.316 +11 36 21.87        21.395 18.882  22
08 51 32.336 +11 36 22.92        20.916 17.864   0
08 50 56.621 +11 36 22.64 20.435 20.290 20.320   2
08 51 48.865 +11 36 23.99        20.633 17.825   0
08 52 17.513 +11 36 25.47 19.054 17.976 16.688   0
08 52 09.906 +11 36 26.31 21.807 20.651 19.480   0
08 51 42.365 +11 36 27.20 22.002 22.469         11
08 51 33.614 +11 36 27.04 21.862 20.256 18.909  16
08 52 09.654 +11 36 27.90 22.001 20.306 17.964  15
08 51 43.069 +11 36 28.91 14.824 14.089 13.260  99
08 51 46.080 +11 36 29.56 22.826 20.967 20.034  16
08 51 41.506 +11 36 29.63 22.275 19.725 16.904   0
08 51 32.463 +11 36 30.03 22.832 21.369 18.821   2
08 50 20.819 +11 36 32.12 20.903 20.509 19.689   4
08 52 19.304 +11 36 34.42 17.604 16.500 15.252  87
08 51 30.136 +11 36 34.08 21.271 20.586 19.832  10
08 52 12.708 +11 36 35.22 21.596 20.094 18.144  10
08 51 35.979 +11 36 35.68 22.685 20.290 18.005  31
08 50 56.156 +11 36 36.05 21.112 19.343 17.422   0
08 51 59.738 +11 36 38.49 21.859 21.445 19.402  23
08 51 31.407 +11 36 38.25 22.105 21.182 19.010  30
08 50 10.515 +11 36 36.89        19.455         32
08 51 35.230 +11 36 40.43 21.730 21.372 20.272   1
08 50 55.676 +11 36 40.45 20.083 19.538 18.900   1
08 50 54.655 +11 36 40.83 20.680 18.953 16.937  45
08 50 11.891 +11 36 40.14        19.809         54
08 50 20.479 +11 36 40.47 17.314 16.584 15.788   0
08 52 05.545 +11 36 43.03 19.631 19.222 18.532  18
08 51 47.385 +11 36 43.85 16.866 15.988 15.023   0
08 50 54.295 +11 36 44.38 15.944 15.167 14.295   0
08 52 22.247 +11 36 46.92 18.070 16.812 15.356  12
08 51 42.605 +11 36 49.41 17.724 16.624 15.385  81
08 50 22.234 +11 36 47.95 22.780 20.738 19.305  27
08 51 31.460 +11 36 50.76 21.788 20.134 17.548  39
08 51 37.018 +11 36 51.70 15.583 14.762 13.810  93
08 51 31.591 +11 36 53.64 21.281 19.754 18.470   0
08 51 07.419 +11 36 53.57 13.906 13.343 12.677   0
08 52 17.018 +11 36 54.68        21.488 19.820   0
08 52 12.665 +11 36 54.87 20.974 19.314 17.254   3
08 51 53.028 +11 36 55.36 21.660 22.092          0
08 51 23.100 +11 36 57.40 18.199 16.785 15.138   1
08 51 26.272 +11 36 57.67        21.180 19.773  38
08 51 21.063 +11 36 57.55 18.216 17.737 17.087   1
08 52 09.143 +11 36 58.47 18.500 17.133 15.560  78
08 51 37.690 +11 36 58.31 21.791 20.983 20.598  25
08 50 36.202 +11 36 57.84 20.249 18.595 16.704  45
08 52 13.667 +11 36 59.60 21.412 20.537 19.399   0
08 51 24.233 +11 36 59.70 21.061 20.556 19.972   5
08 51 26.359 +11 37 00.72 20.556 20.081 18.928   0
08 51 13.048 +11 37 00.37 22.015 21.076 18.465   1
08 51 31.533 +11 37 01.16 21.608 20.131 18.807   0
08 51 40.725 +11 37 02.42 21.597 20.373 17.841   8
08 52 08.602 +11 37 02.88 22.068 20.116 17.820   7
08 51 37.693 +11 37 03.80 12.625 12.248 11.716  96
08 52 12.947 +11 37 04.76 19.244 17.668 15.863   0
08 52 00.440 +11 37 04.83 20.472 18.965 17.330  11
08 50 21.957 +11 37 03.29 22.593 21.657 20.094  16
08 51 13.578 +11 37 05.37 16.525 15.691 14.766   0
08 51 45.781 +11 37 06.07 22.869 21.291 19.402  29
08 50 36.113 +11 37 06.05 17.139 16.119 15.043  91
08 50 29.635 +11 37 05.80 21.397 19.819 17.682   9
08 51 50.181 +11 37 07.71 19.337 18.807 18.122   0
08 52 01.843 +11 37 09.23 18.800 18.332 17.701   0
08 51 26.907 +11 37 09.02 19.739 18.997 18.078   0
08 51 27.370 +11 37 09.31 21.523 22.443         10
08 51 21.503 +11 37 09.43 22.552 21.134 20.388   0
08 51 22.150 +11 37 10.62 22.490 20.780 18.340  51
08 52 22.782 +11 37 11.45 18.323 17.089 15.655   0
08 50 20.289 +11 37 10.66 18.767 17.241 15.517  89
08 51 34.374 +11 37 12.77 21.363 19.824 17.292   0
08 51 55.013 +11 37 13.80 22.144 21.401 18.705  19
08 51 19.127 +11 37 14.65 24.001 22.463         10
08 50 23.410 +11 37 15.05 20.635 19.825 19.136   0
08 50 25.133 +11 37 16.09 21.958 21.095 19.652  19
08 50 30.580 +11 37 17.66 18.621 18.021 17.334   0
08 50 25.435 +11 37 17.93 21.194 20.537 19.613   4
08 50 23.003 +11 37 18.14 15.704 14.918 14.100  98
08 51 52.077 +11 37 20.33 16.706 15.672 14.460  35
08 52 08.484 +11 37 21.56 15.835 15.143 14.360   0
08 51 26.733 +11 37 22.54 21.754 20.987 20.132   9
08 50 13.294 +11 37 21.15        17.134         65
08 51 08.111 +11 37 23.33        21.182 19.813  44
08 51 32.487 +11 37 25.24 19.471 17.941 16.268  27
08 50 40.490 +11 37 23.98 20.102 18.473 16.618  64
08 51 07.808 +11 37 24.94 21.019 19.204 16.849   6
08 51 09.354 +11 37 25.22 25.161 20.812 18.083   1
08 51 09.911 +11 37 26.93 18.199 16.811 15.284   0
08 50 39.362 +11 37 26.55 18.965 18.265 17.436   2
08 52 03.432 +11 37 29.21 21.037 20.090 19.339   3
08 52 06.368 +11 37 31.14 15.358 14.601 13.782  94
08 52 20.063 +11 37 33.37 21.964 21.198 19.980  51
08 50 27.339 +11 37 32.18 21.266 19.493 17.205   2
08 50 16.317 +11 37 33.26 21.068 20.019 18.231   3
08 50 35.802 +11 37 36.38 15.978 15.149 14.284  93
08 52 12.508 +11 37 38.50 19.162 17.724 16.083  54
08 51 17.881 +11 37 38.06 18.827 17.464 15.980  78
08 51 58.879 +11 37 39.69 22.039 22.106         27
08 50 30.670 +11 37 38.06 17.644 16.763 15.804   4
08 51 19.406 +11 37 40.24 21.838 20.623 19.133  43
08 50 52.324 +11 37 39.65 22.516 21.192 19.820   0
08 50 26.017 +11 37 38.98 21.454 21.414 20.567   4
08 50 13.664 +11 37 38.39        17.221 16.577  15
08 51 11.035 +11 37 40.68 21.869 20.188 17.773   0
08 52 06.984 +11 37 43.05 21.527 19.979 18.023  14
08 51 07.710 +11 37 42.63 21.185 20.327 19.598   1
08 52 13.580 +11 37 44.08 19.748 18.838 17.786   0
08 51 30.872 +11 37 45.17 20.594 19.768 18.823   0
08 52 20.137 +11 37 46.69 18.753 17.747 16.596   0
08 51 39.432 +11 37 48.09 19.112 17.983 16.692   1
08 50 38.032 +11 37 47.38 21.610 21.621 19.512  10
08 50 23.542 +11 37 47.96 21.926 21.559 19.348  54
08 52 11.989 +11 37 50.60 19.425 18.800 16.982  16
08 51 29.302 +11 37 50.85 19.527 17.870 15.589   0
08 51 24.348 +11 37 51.52 22.049 21.008 18.812  10
08 52 16.833 +11 37 52.12 22.272 21.024 20.255  10
08 50 19.741 +11 37 50.29 22.183 20.535 18.166  38
08 50 38.017 +11 37 51.86 21.674 20.196 17.886   2
08 50 35.601 +11 37 51.81 21.335 19.769 18.060   0
08 51 06.212 +11 37 54.21 20.978 20.419 19.768   1
08 50 56.137 +11 37 54.96 21.366 20.422 19.789   0
08 52 18.951 +11 37 56.17 17.098 16.099 14.991  87
08 51 21.618 +11 37 56.50 22.071 21.225 19.210   2
08 51 19.782 +11 37 56.50 21.765 19.663 16.960   3
08 52 07.580 +11 37 57.20 21.196 21.609 19.443  29
08 51 34.449 +11 37 57.44 13.715 13.100 12.425   4
08 50 50.931 +11 37 56.98 21.846 21.573 20.678  39
08 51 53.671 +11 37 59.22 21.160 20.506 19.484   0
08 51 22.216 +11 37 59.21 21.066 19.191 17.084  55
08 52 07.601 +11 38 00.88 22.618 20.971 18.331  47
08 51 13.984 +11 38 01.43 21.952 20.945 18.571  41
08 50 23.474 +11 38 02.66 22.048 20.755 18.326   8
08 51 19.608 +11 38 06.00 21.129 19.793 18.141  28
08 52 12.046 +11 38 07.17 22.179 20.643 17.301  37
08 52 09.892 +11 38 07.58 21.445 20.090 18.630   0
08 51 41.339 +11 38 08.12 17.351 16.407 15.394   0
08 50 56.525 +11 38 08.22 14.682 14.042 13.353  54
08 52 09.264 +11 38 09.14 22.230 20.590 18.581   0
08 51 17.649 +11 38 10.08 20.042 18.450 16.629  47
08 50 29.017 +11 38 09.33 14.288 13.668 13.019  98
08 51 43.448 +11 38 11.15        21.147 19.810   2
08 52 09.897 +11 38 12.19 18.586 17.686 16.718  18
08 51 10.284 +11 38 11.94 22.175 21.289 20.554  37
08 51 06.183 +11 38 12.12 22.319 20.285 18.076  30
08 50 22.220 +11 38 11.67 20.429 18.671 16.787  69
08 51 25.214 +11 38 16.21 15.929 15.139 14.284  49
08 52 24.651 +11 38 16.66 20.526 18.710 16.451  25
08 52 13.852 +11 38 16.91 19.794 18.854 17.792  39
08 51 31.920 +11 38 17.04 18.002 16.804 15.433   0
08 50 29.456 +11 38 16.39 21.919 21.732 20.943  14
08 51 38.993 +11 38 18.61 21.933 19.836 17.608  35
08 52 24.207 +11 38 20.12 21.305 19.838 18.087   0
08 52 00.713 +11 38 20.35 20.353 18.619 16.719  40
08 51 46.967 +11 38 21.79 21.068 19.112 16.676   0
08 52 24.288 +11 38 22.46 17.549 16.745 15.864  13
08 51 45.156 +11 38 23.64 21.880 21.169 18.772  46
08 51 30.201 +11 38 24.22 22.329 20.615 19.230  29
08 51 08.021 +11 38 26.03 15.057 14.392 13.659  31
08 51 07.199 +11 38 26.16 21.132 20.533 19.690  48
08 51 49.936 +11 38 27.85        21.243 19.254   0
08 52 17.400 +11 38 28.92 17.636 16.413 15.044  94
08 51 44.556 +11 38 29.05 21.640 20.058 18.307  22
08 52 10.573 +11 38 30.28 17.318 16.610 15.817  76
08 51 28.613 +11 38 31.55 15.695 14.884 14.000  78
08 51 53.453 +11 38 32.64 13.211 12.598 11.907   0
08 51 38.148 +11 38 32.77 18.261 17.688 17.022   0
08 51 33.657 +11 38 33.70 17.158 16.121 14.911   3
08 51 18.386 +11 38 33.95 21.705 19.810 17.241   0
08 50 54.016 +11 38 33.73        21.446 19.761  57
08 51 54.826 +11 38 34.83 17.462 16.478 15.405   0
08 51 47.037 +11 38 34.76 22.390 20.595 18.043  44
08 52 16.470 +11 38 36.43 21.808 21.321 19.622   2
08 51 26.481 +11 38 36.90 14.212 13.601 12.939 100
08 51 18.770 +11 38 37.47 22.429 20.891 18.405   6
08 51 30.531 +11 38 39.23 22.055 20.713 18.420  45
08 52 09.820 +11 38 39.50        21.427 19.097  49
08 51 58.603 +11 38 40.62 18.191 17.555 16.857   0
08 52 06.295 +11 38 41.08 13.989 13.349 12.650  99
08 51 20.249 +11 38 42.16 21.975 21.211 20.319  43
08 50 35.743 +11 38 41.40 22.196 20.519 17.935  47
08 52 21.964 +11 38 42.89 18.645 18.066 17.397   1
08 50 09.594 +11 38 41.99        15.796          3
08 50 08.761 +11 38 42.64        18.566          2
08 51 45.785 +11 38 45.23 14.971 14.302 13.554   0
08 51 58.403 +11 38 45.65 17.237 16.268 15.177   0
08 51 43.790 +11 38 46.74 20.136 18.501 16.503   4
08 51 09.123 +11 38 46.88 19.817 19.204 18.528   1
08 52 09.432 +11 38 47.76 15.801 14.968 14.120  98
08 51 10.255 +11 38 50.23 17.108 16.452 15.710   0
08 52 05.744 +11 38 51.02 16.245 15.491 14.706  83
08 51 58.518 +11 38 52.10 22.650 20.366 18.408  19
08 51 23.868 +11 38 52.14 15.165 14.461 13.713  98
08 50 26.970 +11 38 52.03 21.773 20.029 17.576   5
08 52 18.792 +11 38 56.32 22.408 20.848 18.422  18
08 51 36.158 +11 38 56.33 14.494 13.857 13.160  99
08 50 28.800 +11 38 54.68 20.048 19.543 18.981   0
08 52 14.639 +11 38 57.57 19.338 18.780 18.102   1
08 51 44.929 +11 38 58.96 14.090 13.478 12.807  38
08 51 25.946 +11 38 58.67 18.554 17.850 17.039   4
08 51 26.050 +11 38 59.04 20.311 18.825 16.907   2
08 51 01.888 +11 38 58.41        21.693 20.047  26
08 52 22.308 +11 39 01.15 18.820 17.420 15.868  81
08 51 38.811 +11 39 01.94 17.538 16.584 15.538   0
08 51 56.133 +11 39 04.15 14.764 14.090 13.365   0
08 51 53.889 +11 39 04.85 15.130 14.435 13.679   0
08 51 13.298 +11 39 05.46 20.992 20.242 19.209  24
08 52 22.225 +11 39 06.34 21.735 21.389 20.991  15
08 52 20.949 +11 39 06.43 13.738 13.096 12.384 100
08 51 06.023 +11 39 07.78 21.890 20.755 18.401  10
08 51 57.504 +11 39 08.80 21.208 19.437 17.045   0
08 51 35.069 +11 39 08.61 22.129 20.912 18.293   8
08 51 21.569 +11 39 08.47 14.108 13.580 12.974  96
08 51 31.703 +11 39 08.98 21.921 20.779 18.779  43
08 51 18.654 +11 39 09.59 21.622 20.980 18.581  32
08 51 21.800 +11 39 09.91 20.158 18.513 16.505   2
08 50 32.263 +11 39 10.37 20.341 19.104 17.740  12
08 51 49.778 +11 39 11.98 22.464 20.897 18.443  28
08 51 56.038 +11 39 13.75 15.257 14.561 13.761   0
08 52 13.400 +11 39 13.86 19.950 18.205 16.127  78
08 51 23.188 +11 39 14.87 15.637 14.878 14.044  98
08 51 18.775 +11 39 14.81 22.278 20.254 17.930  32
08 50 18.149 +11 39 13.30 21.357 21.320 19.291  55
08 51 07.242 +11 39 15.12 22.520 21.321 19.197   0
08 51 32.464 +11 39 17.54 19.920 18.127 16.069   0
08 50 08.229 +11 39 15.52        17.014         21
08 50 37.628 +11 39 16.89 19.415 18.864 18.230   4
08 51 32.142 +11 39 20.40 21.204 21.005 20.258  14
08 50 36.488 +11 39 20.27 21.468 20.763 19.554  12
08 51 49.143 +11 39 21.95 20.777 20.269 19.354   8
08 50 59.758 +11 39 22.29 13.982 12.895 11.696   3
08 51 32.196 +11 39 23.15 21.566 21.070 20.318   2
08 50 18.897 +11 39 21.36 18.629 17.847 17.035  80
08 51 52.818 +11 39 24.17 22.028 20.949 20.167   0
08 51 36.060 +11 39 25.01 21.522 20.600 18.476  39
08 50 39.900 +11 39 25.44 21.550 19.982 17.647   2
08 51 18.098 +11 39 26.64 22.689 21.292 20.530   0
08 51 19.254 +11 39 29.35 22.251 20.798 18.460  12
08 50 27.312 +11 39 28.55 21.869 21.669 20.564   4
08 52 08.500 +11 39 31.18 17.560 16.435 15.199  86
08 50 40.119 +11 39 29.78 21.841 21.717 20.858   0
08 50 32.871 +11 39 30.06 21.764 21.524 20.821   4
08 51 35.604 +11 39 32.24 18.292 17.031 15.662  90
08 51 14.870 +11 39 32.59 18.787 17.305 15.655  68
08 50 32.708 +11 39 32.57 21.287 20.663 19.944   4
08 50 24.343 +11 39 32.48 21.548 20.063 18.523   1
08 52 01.862 +11 39 35.01 19.687 19.094 18.285   0
08 51 53.988 +11 39 35.00 19.223 18.058 16.664   0
08 51 49.770 +11 39 34.88 21.443 20.681 19.823   0
08 51 17.595 +11 39 36.05 14.118 13.503 12.841  88
08 51 12.618 +11 39 36.24 20.675 20.046 19.333   8
08 50 11.096 +11 39 34.61        19.483         62
08 51 09.002 +11 39 36.85 21.725 20.643 18.151   1
08 51 13.388 +11 39 37.59 16.846 15.834 14.712  91
08 51 00.822 +11 39 37.63 13.270 12.552 11.807  87
08 51 20.583 +11 39 38.36 20.264 19.035 17.687   4
08 51 55.154 +11 39 40.19 14.978 14.301 13.614  93
08 51 20.789 +11 39 40.12 14.226 13.624 12.955  99
08 51 36.260 +11 39 40.75 20.600 19.044 17.233  15
08 52 11.523 +11 39 41.23 22.032 20.966 20.181  14
08 50 23.477 +11 39 39.32 21.753 20.009 17.765  18
08 51 04.625 +11 39 41.33 21.876 21.166 20.255   2
08 51 18.243 +11 39 42.62 19.906 18.499 16.837   0
08 50 15.895 +11 39 41.73 15.290 14.403 13.487  24
08 52 01.521 +11 39 44.30 20.526 19.678 18.813   0
08 51 09.438 +11 39 43.98 21.469 21.075 20.160   1
08 51 23.982 +11 39 46.61 22.452 21.060 20.150   0
08 52 24.511 +11 39 46.93 22.135 21.065 18.556   3
08 51 35.542 +11 39 47.01 15.092 14.313 13.455  97
08 51 15.583 +11 39 47.18 23.146 21.048 18.562   6
08 51 34.127 +11 39 48.19 22.247 20.420 19.034   0
08 51 10.779 +11 39 50.90 15.288 14.584 13.809  99
08 51 29.672 +11 39 52.17 21.798 22.093         30
08 50 59.724 +11 39 52.54 13.561 13.004 12.365 100
08 50 25.058 +11 39 54.85 21.935 21.266 19.578  31
08 52 15.555 +11 39 56.76 16.963 15.918 14.745  96
08 51 42.936 +11 39 57.12 21.850 21.014 18.883  48
08 50 34.389 +11 39 56.73 13.181 12.526 11.856  99
08 51 38.551 +11 39 58.14 19.342 17.700 15.828  34
08 51 49.780 +11 39 58.46 15.417 14.558 13.668  83
08 50 24.158 +11 39 56.90 17.363 15.901 14.213   0
08 51 27.511 +11 39 59.22 21.314 20.089 19.000   6
08 51 01.858 +11 39 59.33 16.204 15.006 13.667   0
08 52 09.849 +11 40 00.08 21.530 19.612 17.390  32
08 50 24.184 +11 39 58.55 15.158 14.193 13.174   0
08 50 16.900 +11 39 58.49        21.536 20.670  27
08 51 11.297 +11 40 00.77 17.091 16.454 15.739   0
08 50 52.736 +11 40 00.65 22.307 19.985 18.596  36
08 51 00.629 +11 40 02.15 21.357 19.664 17.512  30
08 50 53.075 +11 40 02.27 14.204 13.587 12.941  93
08 52 14.960 +11 40 03.31 19.791 19.103 18.295   7
08 51 27.941 +11 40 02.98 19.427 17.887 16.222  79
08 51 10.402 +11 40 03.55 20.085 18.895 17.563   0
08 50 23.728 +11 40 04.10        20.998 18.877   1
08 51 08.016 +11 40 05.74 21.419 20.941 20.265  42
08 50 19.380 +11 40 04.82 21.937 20.792 18.676   0
08 52 06.362 +11 40 08.20 21.683 21.492 19.439  16
08 50 12.798 +11 40 05.89        16.359         10
08 50 53.204 +11 40 07.30 20.955 19.136 16.969  42
08 50 28.586 +11 40 07.91 24.277 21.207 19.100   2
08 51 00.232 +11 40 10.25 21.791 20.144 18.376  14
08 51 19.352 +11 40 11.86 22.028 20.356 18.258   0
08 51 26.431 +11 40 12.62 14.749 13.896 12.987   0
08 51 43.352 +11 40 13.02 16.958 16.331 15.655   0
08 51 04.751 +11 40 12.66 16.799 15.877 14.855  97
08 50 17.603 +11 40 12.36 17.716 16.655 15.454   0
08 52 06.433 +11 40 14.99 16.015 15.137 14.213   0
08 50 36.121 +11 40 13.43 21.067 21.502 19.869  48
08 51 19.044 +11 40 15.72 14.268 13.661 13.009  97
08 50 21.789 +11 40 14.24        21.558 20.663   4
08 52 06.530 +11 40 17.96 21.399 19.989 18.682  31
08 50 36.738 +11 40 17.81 21.777 21.753 20.961   2
08 52 12.516 +11 40 19.38 21.672 22.046         36
08 50 32.408 +11 40 17.91 21.853 20.840 18.758   6
08 51 36.677 +11 40 19.58 21.865 20.943 18.345  30
08 51 58.763 +11 40 19.88 20.810 18.970 16.764   4
08 51 34.830 +11 40 20.89 19.778 18.804 17.784   0
08 51 44.365 +11 40 22.07 21.458 20.655 20.006  22
08 51 10.472 +11 40 22.11 21.789 20.200 17.923  28
08 51 48.371 +11 40 25.62 22.218 20.466 17.934   0
08 51 54.890 +11 40 26.40 11.968 11.373 10.698   0
08 50 38.966 +11 40 24.97 23.530 21.435 19.592   7
08 50 20.959 +11 40 24.62 21.695 19.913 18.088   4
08 51 57.071 +11 40 26.96 19.198 18.538 17.738   0
