#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-27T22:36:49 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51f44b552540 
#INFO -out.max=99999 
#INFO queryParameters=11 
#-oc.form=sexa
#-out.max=99999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJ/632/266&tab:{J/ApJ/632/266/table2}&key:source=J/ApJ/632/266&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/ApJ/632/266/table2
#-order=I
#-out=Vmag
#-out=Imag
#-out=Class
#

#RESOURCE=yCat_16320266
#Name: J/ApJ/632/266
#Title: WFPC2 photometry of the globular cluster M5 (Layden+, 2005)
#Table J_ApJ_632_266_table2:
#Name: J/ApJ/632/266/table2
#Title: WFPC2 photometry
#---Details of Columns:
    Vmag (mag) (F6.3)  HST/WFPC2 F555W V band magnitude [ucd=phot.mag;em.opt.V]
    Imag (mag) (F6.3)  HST/WFPC2 F814W I band magnitude [ucd=phot.mag;em.opt.I]
    Class      (F5.2)  SExtractor class indicator of object (5) [ucd=meta.code.class]
------ ------ -----
27.101 25.733  0.00
25.198 23.352  0.97
23.850 22.198  1.00
19.487 18.783  1.00
20.878 19.975  0.98
26.319 26.075  0.23
26.548 24.170  0.10
24.685 22.838  1.00
24.793 22.980  1.00
24.513 22.708  0.91
25.508 23.554  1.00
24.240 22.519  1.00
24.076 22.388  1.00
25.335 23.444  0.97
26.104 23.838  0.93
22.295 20.997  0.98
22.316 21.012  0.98
19.029 18.363  0.98
20.832 19.920  0.98
19.716 19.007  1.00
21.592 20.505  0.99
26.266 24.142  0.97
24.473 22.603  0.91
22.420 21.046  0.92
24.483 22.737  1.00
26.777 26.946  0.76
22.928 21.474  0.98
20.360 19.535  1.00
24.937 23.077  0.98
19.380 18.667  1.00
28.072 26.569  0.01
26.981 26.119  0.00
20.508 19.656  0.98
23.634 22.023  0.93
25.652 23.706  1.00
20.871 19.979  0.98
26.212 24.088  0.98
20.088 19.302  1.00
22.211 20.938  1.00
25.380 23.490  0.97
20.934 20.010  0.98
24.476 22.701  0.85
19.970 19.196  0.98
27.477 26.708  0.78
20.975 20.001  0.98
24.911 23.083  1.00
20.790 19.910  0.98
26.971 24.997  0.00
23.290 21.766  0.97
21.475 20.421  0.98
26.772 26.288  0.92
24.191 22.382  0.91
18.725 18.097  1.00
23.574 21.968  0.98
23.698 22.074  0.98
26.504 24.283  0.99
19.258 18.563  1.00
21.465 20.419  0.98
18.972 18.309  1.00
23.061 21.617  0.99
20.423 19.601  0.98
24.589 22.789  0.96
25.075 23.090  1.00
22.204 20.956  0.99
25.906 23.768  0.78
26.765 25.491  0.72
17.303 16.461  0.98
24.818 23.026  0.56
25.078 23.292  1.00
22.645 21.283  1.00
25.157 23.460  1.00
24.848 22.836  0.03
23.806 22.202  1.00
25.571 23.536  1.00
27.535 26.937  0.02
24.810 22.984  0.98
22.500 21.155  1.00
25.951 23.867  0.99
23.847 22.216  1.00
25.473 24.625  0.64
26.489 24.700  0.99
23.400 21.833  0.99
25.514 23.602  0.59
19.588 18.864  1.00
25.652 23.678  0.98
22.727 21.337  0.97
18.810 18.183  1.00
20.738 19.859  0.99
25.110 23.205  0.98
20.550 19.713  0.98
19.772 19.025  0.98
24.809 23.037  0.95
26.690 24.435  0.83
23.728 22.104  0.99
23.695 22.110  0.99
19.609 18.880  0.98
23.212 21.714  1.00
24.626 22.830  0.97
23.851 22.258  1.00
26.924 24.837  0.77
26.170 24.217  0.94
20.522 19.689  1.00
24.105 22.404  1.00
26.923 24.507  0.65
23.307 21.787  0.99
24.932 23.220  0.50
23.695 22.064  1.00
24.242 22.502  0.98
21.893 20.728  0.98
24.678 22.885  0.98
20.915 19.979  1.00
26.250 24.168  0.75
25.384 23.504  0.56
20.582 19.751  0.98
25.817 26.120  0.51
19.956 19.195  1.00
22.484 21.135  1.00
26.802 26.576  0.31
23.157 21.634  1.00
21.885 20.520  1.00
19.444 18.742  0.99
26.052 23.943  0.17
24.518 22.773  0.97
26.886 24.657  0.93
24.794 22.994  0.96
27.105 24.791  0.89
24.773 23.096  0.07
25.188 23.305  0.60
19.608 18.874  1.00
26.834 24.754  0.00
26.284 24.218  0.97
23.783 22.180  0.98
25.487 23.524  0.98
26.147 24.050  0.97
26.547 24.402  0.96
21.550 20.453  0.98
17.900 17.202  1.00
23.467 21.919  0.98
24.837 23.014  0.39
21.945 20.757  1.00
19.982 19.230  0.98
24.683 22.940  0.98
24.579 22.751  0.98
27.295 26.365  0.84
23.368 21.825  0.05
18.444 17.802  1.00
26.526 24.365  0.96
26.162 24.135  0.96
23.138 21.614  1.00
25.714 23.752  0.81
26.210 24.190  0.02
23.770 22.158  0.99
23.021 21.527  0.98
25.386 23.457  0.94
23.379 21.822  0.85
27.425 25.378  0.01
24.956 23.139  0.92
24.522 22.760  0.98
25.909 23.859  0.97
24.055 22.250  0.03
25.444 23.538  0.97
25.542 23.611  0.97
24.070 22.506  0.35
27.522 27.205  0.00
19.737 18.995  1.00
23.330 21.766  1.00
22.925 21.489  1.00
19.021 18.365  0.99
24.947 23.087  0.98
24.791 23.047  0.98
23.158 21.552  0.04
21.610 20.536  1.00
23.362 22.211  0.03
24.437 22.693  0.99
21.275 20.274  1.00
25.253 23.357  0.94
22.972 21.507  0.55
19.525 18.800  0.98
19.985 19.242  0.98
24.679 22.887  0.97
21.723 20.669  0.98
21.542 20.464  0.98
20.159 19.341  1.00
26.557 24.284  0.91
22.993 21.541  0.16
24.980 23.151  0.96
27.270 26.994  0.64
22.262 21.020  1.00
22.240 20.993  1.00
23.898 22.241  0.03
24.315 22.613  0.99
23.072 21.585  0.99
23.527 21.924  1.00
24.210 22.450  0.81
25.605 23.592  0.99
22.980 21.542  0.97
22.543 21.219  0.98
24.796 23.152  1.00
23.387 21.809  0.98
25.371 23.346  1.00
25.544 23.571  0.99
25.046 23.222  0.94
25.005 23.214  1.00
27.840 26.818  0.00
26.852 24.491  0.02
20.870 19.980  1.00
21.206 20.238  1.00
25.788 23.922  0.96
24.916 23.073  0.91
25.917 24.004  0.91
25.329 23.409  0.98
24.971 23.143  1.00
23.970 22.289  0.98
24.822 22.942  1.00
25.492 23.515  0.03
23.402 21.844  0.99
24.483 22.766  0.41
26.529 24.115  0.87
24.979 23.059  0.02
23.215 21.693  1.00
24.427 22.683  0.97
24.382 22.687  0.99
22.619 21.264  0.99
23.645 22.011  1.00
24.960 22.988  1.00
25.383 23.554  0.68
25.366 23.460  0.97
24.304 22.561  0.28
24.012 22.349  0.80
22.355 21.008  0.98
21.594 20.526  0.98
24.243 22.654  0.91
27.618 26.759  0.01
25.199 23.328  0.95
21.317 20.299  0.99
23.375 21.825  0.98
23.424 21.873  0.83
21.996 20.802  0.98
25.368 23.412  0.86
26.009 23.918  0.96
26.705 24.702  0.83
23.182 21.756  0.07
22.476 21.166  1.00
24.526 22.823  0.25
20.462 19.634  0.98
25.769 23.874  0.97
25.287 23.652  1.00
23.783 22.247  0.99
22.473 21.159  0.98
20.221 19.412  0.99
23.803 22.202  0.97
15.718 15.744  0.99
24.001 22.521  0.22
23.071 21.598  0.99
27.492 26.906  0.00
25.287 23.489  1.00
19.932 19.176  1.00
24.933 22.982  0.02
25.514 23.553  1.00
26.286 24.136  0.99
27.016 24.535  0.00
24.666 22.899  1.00
21.681 20.579  0.98
24.110 22.409  0.98
25.529 23.582  0.91
27.273 26.641  0.00
25.471 23.537  0.95
21.479 20.476  1.00
22.013 20.809  0.98
24.178 22.472  0.98
26.531 24.416  0.90
26.977 24.644  0.92
19.983 19.194  0.98
26.952 25.545  0.00
24.832 23.004  0.98
24.477 22.740  0.87
27.429 26.120  0.19
22.903 21.427  1.00
25.858 23.829  0.99
19.391 18.697  1.00
25.173 23.339  1.00
26.283 26.695  0.01
24.721 22.946  0.92
24.355 22.617  0.99
27.681 26.490  0.00
23.653 22.046  0.98
24.615 22.834  0.97
25.401 23.546  0.68
24.371 22.651  0.96
23.299 21.882  0.98
22.214 20.954  0.43
26.607 26.271  0.00
20.558 19.707  0.98
20.985 20.052  0.98
27.542 26.731  0.65
20.900 19.974  0.98
24.875 23.069  0.99
23.760 22.098  1.00
25.615 23.674  0.97
22.400 21.089  1.00
25.833 23.804  0.97
19.799 19.092  1.00
22.348 21.010  0.98
25.030 23.221  0.88
25.261 23.300  0.98
24.553 22.832  0.91
20.921 19.948  1.00
23.496 21.979  0.99
23.023 21.541  0.98
24.667 22.855  1.00
26.721 25.245  0.01
21.847 20.721  1.00
19.179 18.485  1.00
21.506 20.438  1.00
23.287 21.761  0.99
27.037 25.225  0.98
27.374 25.987  0.00
23.127 21.647  1.00
25.696 23.768  0.95
27.956 27.110  0.01
23.100 21.598  0.98
25.350 27.008  0.05
19.085 18.435  1.00
23.673 22.044  1.00
22.671 21.282  0.99
25.566 25.634  0.80
21.592 20.533  0.99
21.076 20.152  0.98
27.380 25.555  0.79
25.699 23.716  0.99
26.294 24.288  0.93
27.221 26.036  0.00
22.068 20.852  0.98
21.075 20.133  0.98
24.459 22.821  1.00
20.875 19.970  0.90
24.335 22.512  0.08
18.732 18.086  0.99
21.856 20.723  0.98
25.877 24.026  0.01
24.455 22.698  1.00
20.378 19.523  1.00
24.643 22.767  0.97
26.578 24.374  0.96
25.327 23.369  0.99
25.488 23.576  0.97
19.517 18.817  1.00
26.065 24.062  1.00
23.669 22.109  0.99
24.856 23.020  1.00
21.645 20.566  0.98
19.834 19.071  1.00
20.327 19.528  1.00
23.664 22.043  1.00
24.181 22.557  0.05
26.863 26.612  0.02
23.612 22.031  0.99
20.197 19.379  0.98
25.131 23.083  0.06
24.738 23.028  0.50
18.531 17.866  1.00
23.500 21.877  0.97
27.527 26.384  0.00
20.663 19.792  0.98
22.486 21.167  0.11
26.526 24.380  0.99
27.218 24.753  0.04
24.902 23.034  1.00
25.772 25.571  0.02
21.768 20.637  1.00
25.744 23.776  0.99
24.848 23.031  0.93
24.271 22.470  0.98
24.832 23.001  0.98
22.132 20.906  0.99
20.101 19.347  0.98
24.243 22.526  0.96
22.512 21.189  0.34
20.914 20.002  1.00
19.192 18.529  0.98
25.273 23.430  0.99
27.406 26.506  0.00
25.485 23.553  0.16
24.711 22.973  0.94
21.724 20.610  1.00
23.945 22.289  1.00
24.297 22.608  0.79
26.222 24.213  0.79
26.253 24.162  0.63
25.776 23.777  0.80
24.135 22.407  0.99
18.781 18.140  1.00
24.849 23.041  1.00
23.724 22.128  0.18
24.970 23.170  1.00
20.686 19.815  0.98
25.993 23.996  0.97
20.377 19.564  0.98
24.684 22.696  0.98
21.726 20.617  1.00
20.492 19.658  1.00
25.593 23.578  0.01
25.980 26.276  0.22
20.430 19.612  0.98
21.927 20.751  0.99
22.738 21.255  0.99
22.816 21.243  0.98
19.656 18.942  1.00
22.437 21.081  0.91
20.714 19.723  0.98
22.649 21.295  0.91
21.405 20.369  0.98
24.184 22.464  1.00
26.996 24.883  0.00
19.021 18.377  0.98
23.491 21.956  0.98
23.909 22.229  1.00
24.950 23.108  0.94
23.246 21.678  0.97
25.881 23.950  0.99
24.065 22.367  0.96
25.131 23.251  0.96
21.746 20.634  1.00
22.053 20.779  0.98
23.901 22.229  0.98
20.055 19.258  0.98
22.832 21.416  1.00
24.124 22.351  0.03
21.986 20.796  0.98
25.849 23.763  0.67
25.025 23.246  0.99
23.316 21.762  0.99
23.209 21.713  1.00
24.781 22.969  0.76
23.181 21.685  1.00
19.685 18.969  0.98
24.258 22.544  0.92
23.361 21.828  0.99
24.043 22.365  0.89
20.892 19.929  0.98
22.127 20.699  1.00
22.575 21.207  1.00
24.965 23.142  0.98
24.808 23.073  0.44
24.282 22.551  0.92
24.867 23.111  0.96
24.368 22.663  1.00
22.908 21.508  0.98
24.913 23.079  0.98
22.513 21.174  0.98
25.027 23.255  0.96
19.869 19.137  1.00
25.609 23.661  0.78
20.221 19.428  0.98
24.544 22.714  0.95
22.735 21.342  0.98
24.957 24.822  0.02
23.093 21.591  1.00
22.262 20.990  0.98
19.133 18.472  1.00
27.124 24.842  0.00
24.123 22.407  0.25
24.266 22.543  0.63
25.666 23.726  0.94
22.768 21.361  0.99
23.777 22.144  1.00
24.762 22.980  1.00
22.881 21.444  0.98
24.902 23.142  0.94
24.949 22.944  0.04
21.691 20.589  0.98
21.121 20.155  0.99
27.143 25.964  0.66
23.790 22.181  1.00
26.243 23.985  0.96
22.502 21.151  1.00
27.766 25.980  0.00
21.117 20.157  1.00
24.726 22.953  0.83
25.740 23.724  0.99
23.878 22.247  0.86
21.727 20.617  0.99
21.548 20.495  0.98
25.867 23.635  1.00
26.468 24.483  0.68
27.904 26.820  0.75
18.636 17.987  1.00
21.953 20.769  0.96
23.605 22.008  1.00
19.670 18.952  0.98
22.521 21.210  1.00
25.351 23.337  0.01
23.476 21.887  0.99
24.458 22.678  0.94
25.010 23.143  0.98
24.061 22.428  0.99
20.638 19.784  1.00
27.758 26.617  0.00
19.443 18.738  1.00
23.859 22.204  1.00
19.484 18.774  0.99
25.580 23.484  0.98
18.237 17.617  0.98
19.945 19.154  1.00
20.427 19.613  1.00
20.833 19.937  1.00
26.319 24.393  0.01
24.232 22.530  0.94
24.441 22.706  0.99
24.479 22.702  0.97
20.789 19.898  0.98
27.298 26.465  0.00
24.718 22.836  0.03
25.637 23.776  0.61
26.914 26.269  0.06
22.566 21.204  0.98
20.211 19.410  0.98
22.804 21.392  0.94
21.784 20.665  0.98
25.272 23.348  0.95
24.843 24.691  0.03
19.774 19.056  0.99
22.262 21.009  1.00
23.355 21.827  1.00
22.761 21.329  0.98
20.985 20.061  1.00
21.521 20.458  0.99
24.691 22.923  1.00
20.798 19.919  0.98
25.380 23.429  0.03
24.432 22.723  0.96
24.507 22.719  0.99
22.209 20.966  0.98
24.928 23.200  0.87
24.425 22.663  1.00
24.888 23.201  1.00
19.390 18.729  0.98
22.683 21.251  0.99
23.128 21.585  0.96
19.930 19.194  1.00
22.659 21.294  1.00
24.030 22.357  0.99
23.324 21.767  0.99
21.258 20.286  0.98
19.817 19.054  1.00
25.159 23.296  0.97
19.932 19.162  1.00
23.143 21.579  0.99
25.911 23.975  0.83
24.881 23.012  0.18
23.093 21.647  0.78
19.449 18.753  0.98
26.556 24.412  0.96
25.410 23.518  0.79
19.515 18.771  0.98
24.328 22.585  1.00
19.462 18.771  1.00
23.654 22.031  0.99
21.694 20.608  1.00
25.621 23.592  0.95
25.828 23.882  0.97
24.789 22.948  0.03
18.865 18.213  1.00
21.816 20.666  1.00
20.792 19.844  1.00
27.109 24.915  0.13
20.642 19.777  1.00
18.559 17.917  0.99
22.855 21.429  0.99
24.687 22.851  0.89
24.786 22.988  0.96
20.931 19.997  1.00
19.731 19.001  1.00
26.775 24.427  0.01
24.552 22.774  0.96
23.317 21.620  0.52
26.790 24.588  0.74
23.815 22.167  0.98
23.759 22.126  0.98
27.851 26.791  0.00
25.745 23.774  1.00
26.348 26.485  0.02
24.385 22.545  0.99
24.947 23.077  1.00
21.471 20.379  0.98
27.131 26.130  0.00
19.506 18.810  1.00
24.233 22.420  1.00
20.611 19.761  1.00
25.101 25.421  0.99
24.992 23.170  0.98
25.203 23.308  1.00
20.851 19.937  0.98
26.322 24.295  0.96
24.847 22.971  0.98
22.673 21.291  0.98
25.002 23.163  1.00
20.684 19.832  0.98
25.142 23.277  0.96
27.051 24.824  0.03
26.838 24.817  0.17
27.040 24.978  0.67
24.927 23.076  0.98
25.208 23.387  0.94
26.765 24.617  0.95
25.876 23.803  0.99
19.399 18.705  0.98
21.362 20.342  1.00
20.937 20.017  1.00
20.014 19.272  0.99
19.134 18.465  0.98
20.838 19.929  0.98
23.070 21.612  0.99
25.813 23.786  0.97
25.012 23.130  0.95
19.453 18.763  1.00
23.533 21.986  1.00
24.662 22.828  0.22
20.315 19.500  0.98
23.878 22.210  0.98
25.263 23.420  1.00
23.697 22.091  1.00
23.291 21.595  0.96
23.962 22.306  1.00
25.220 23.363  1.00
24.870 22.997  0.90
27.855 26.468  0.02
27.579 26.366  0.00
24.496 22.779  0.97
25.303 23.341  1.00
19.754 19.044  1.00
24.744 22.925  0.99
20.538 19.633  0.99
23.357 21.837  1.00
24.763 23.137  0.95
24.736 22.882  0.33
23.953 22.300  0.98
22.429 21.165  0.98
24.363 22.627  1.00
26.136 24.014  0.90
20.333 19.523  0.98
23.677 22.094  0.96
22.827 21.423  1.00
22.818 21.392  0.98
25.705 23.636  0.02
24.350 22.610  1.00
21.834 20.674  0.98
26.399 25.687  0.12
21.682 20.573  1.00
20.976 20.045  1.00
26.112 24.066  0.84
23.853 22.765  0.08
27.649 26.791  0.00
23.753 22.131  0.99
26.543 24.275  0.98
22.818 21.382  0.96
24.474 22.824  0.07
25.496 23.554  1.00
25.365 23.388  1.00
23.546 21.961  0.80
25.533 23.731  0.99
24.853 23.043  0.98
20.472 19.653  1.00
23.976 22.308  1.00
26.841 24.570  0.48
27.335 25.350  0.56
27.394 26.078  0.00
25.367 23.564  1.00
26.520 24.358  0.97
19.225 18.435  0.98
26.099 25.222  0.98
25.530 23.610  0.97
19.490 18.774  1.00
25.002 23.191  1.00
25.723 23.714  0.98
26.304 24.312  0.97
21.156 20.202  0.99
23.917 22.272  0.99
24.203 22.495  1.00
19.415 18.717  1.00
25.490 23.456  1.00
24.534 22.734  1.00
22.159 20.948  1.00
23.641 22.057  0.99
23.470 21.912  0.97
22.725 21.311  1.00
26.254 26.106  0.95
24.966 23.134  1.00
24.799 22.950  0.95
26.316 24.214  0.94
20.913 19.998  0.99
25.648 23.813  0.11
25.051 23.187  1.00
24.828 22.967  1.00
25.017 23.231  1.00
24.384 22.593  0.97
23.402 21.855  0.99
18.834 18.202  1.00
22.497 21.158  0.98
19.253 18.602  1.00
23.497 21.902  0.99
24.582 22.812  1.00
21.201 20.224  0.98
25.112 23.225  1.00
26.087 24.120  0.95
22.082 20.855  0.99
25.019 23.139  0.97
21.585 20.519  1.00
24.677 22.911  1.00
24.504 22.749  0.98
25.141 23.291  1.00
18.474 17.867  1.00
21.395 20.385  1.00
25.787 23.757  0.96
21.059 20.118  0.98
24.502 22.723  1.00
20.830 19.918  0.98
23.332 21.733  1.00
21.048 20.109  0.98
19.988 19.224  0.99
23.511 21.969  0.99
23.567 21.945  0.99
25.208 23.306  1.00
26.096 23.976  0.23
24.413 22.660  0.98
25.610 23.626  0.98
25.164 23.316  0.36
25.036 23.190  1.00
21.202 20.195  0.99
21.090 20.075  1.00
22.458 21.125  0.99
27.278 25.769  0.80
20.718 19.819  0.98
21.298 20.303  0.98
26.984 24.793  0.90
22.902 21.438  0.12
25.034 23.212  0.97
23.306 21.817  0.99
25.856 24.042  1.00
22.185 20.950  1.00
25.293 23.399  0.98
22.959 24.092  0.96
24.150 22.464  0.99
26.971 26.560  0.59
23.926 22.281  0.97
26.895 24.581  0.85
23.149 21.665  0.98
21.966 20.708  1.00
25.914 23.764  0.95
22.379 21.093  0.98
22.639 21.260  1.00
21.384 20.360  0.99
21.603 20.525  0.98
22.042 20.853  0.98
25.181 23.311  0.95
24.588 22.803  0.99
25.512 23.815  0.97
24.430 22.671  1.00
25.482 23.567  0.98
26.108 24.049  1.00
21.163 20.205  1.00
23.916 22.273  0.85
23.100 21.654  0.99
19.578 18.872  1.00
20.766 19.890  1.00
21.195 20.210  0.98
21.097 20.139  0.98
23.427 21.752  0.99
24.404 22.691  0.96
24.725 22.899  0.98
22.428 21.111  1.00
24.586 22.824  0.97
23.567 22.020  0.71
22.159 20.909  0.98
24.936 23.109  0.98
23.564 22.002  0.99
25.900 24.039  0.98
19.999 19.225  1.00
23.546 21.903  0.99
24.210 22.514  1.00
24.635 22.838  1.00
25.174 23.268  0.94
24.566 22.769  1.00
26.087 24.028  0.95
25.214 23.447  0.91
21.992 20.817  1.00
19.335 18.681  0.98
19.523 18.789  0.97
23.419 21.852  1.00
23.905 22.296  1.00
23.381 21.836  0.98
27.946 26.537  0.48
21.671 20.587  0.98
24.400 22.647  0.98
27.168 24.797  0.81
19.727 18.980  0.98
22.884 21.447  0.99
26.022 23.963  0.99
23.923 22.637  0.93
25.295 23.444  1.00
24.037 22.400  0.98
25.136 23.305  1.00
21.065 20.103  0.98
24.337 22.463  0.96
26.354 24.230  0.96
21.839 20.690  1.00
19.564 18.863  1.00
27.214 25.013  0.87
24.593 22.797  0.98
21.940 20.773  1.00
25.922 23.902  0.98
24.121 22.377  0.52
23.738 22.109  1.00
27.422 25.151  0.00
23.118 21.625  1.00
19.613 18.784  0.98
25.140 23.300  0.98
26.427 24.321  0.22
24.880 23.025  0.98
23.924 22.286  0.99
25.193 23.382  0.96
22.235 20.955  0.98
22.079 20.875  0.98
26.057 23.993  0.41
22.454 21.137  0.98
22.347 21.051  1.00
23.256 21.716  0.99
23.252 21.725  0.97
21.287 20.314  0.99
26.554 24.338  0.96
25.519 23.623  0.03
20.703 19.821  0.98
21.030 20.081  0.99
21.256 20.264  0.98
24.640 22.801  1.00
21.018 20.072  1.00
20.546 19.705  1.00
24.653 22.887  1.00
21.337 20.323  1.00
22.174 20.921  1.00
22.460 21.180  0.98
24.726 22.934  0.96
19.595 18.869  0.99
23.118 21.635  0.98
18.780 18.133  1.00
22.446 21.134  0.98
23.954 22.303  1.00
20.495 19.634  0.98
25.718 25.468  0.97
24.351 22.651  0.98
23.269 21.707  1.00
24.006 24.235  0.03
21.505 20.446  0.98
24.891 23.041  1.00
25.051 23.245  0.96
19.814 19.060  1.00
23.964 22.281  0.98
24.756 23.019  1.00
27.619 26.495  0.57
18.877 18.223  1.00
28.165 25.964  0.03
26.749 24.496  0.92
25.117 23.352  1.00
24.187 22.506  1.00
24.569 22.819  0.85
24.032 22.409  1.00
20.510 19.688  0.98
19.266 18.564  0.98
23.340 21.792  1.00
24.610 22.894  0.98
20.271 19.448  1.00
25.388 23.539  1.00
23.263 21.720  1.00
25.849 23.665  0.61
20.084 19.310  1.00
25.233 23.389  0.97
23.339 21.926  0.03
25.381 23.402  0.95
24.410 22.666  0.89
22.270 21.009  0.99
21.723 20.479  0.20
22.605 21.232  0.95
24.091 22.428  0.97
25.177 23.255  0.98
23.611 22.143  1.00
23.060 21.581  0.93
27.597 26.339  0.00
24.588 22.812  1.00
25.888 23.937  1.00
22.477 21.115  1.00
21.265 20.237  1.00
21.562 20.525  0.99
24.106 22.386  0.93
27.603 26.915  0.82
23.860 22.205  0.98
25.644 23.653  1.00
24.222 22.519  0.98
21.934 20.779  0.98
21.005 20.061  0.99
27.476 26.965  0.74
19.678 18.955  0.98
27.421 26.541  0.71
26.579 27.313  0.00
26.110 24.096  0.97
27.395 25.628  0.09
21.872 20.536  0.99
25.870 23.892  0.77
21.977 20.819  1.00
24.013 22.330  0.97
25.527 23.636  0.35
23.897 22.278  0.98
26.794 24.504  0.08
23.606 22.026  0.99
20.103 19.283  1.00
19.781 19.037  1.00
20.915 20.007  0.98
19.653 18.948  0.98
27.628 26.793  0.02
22.684 21.314  0.98
27.607 26.227  0.09
23.810 22.159  0.99
27.439 26.381  0.39
23.837 22.211  0.98
23.196 21.672  0.98
20.785 19.885  0.98
23.958 22.246  1.00
23.749 22.145  0.23
26.087 23.984  0.02
20.310 19.512  0.99
22.795 21.329  1.00
20.081 19.328  0.98
26.601 24.307  0.61
27.757 26.776  0.00
